あ  a
い  i
う  u
え  e
お  o
か  k a
き  k i
く  k u
け  k e
こ  k o
が  g a
ぎ  g i
ぐ  g u
げ  g e
ご  g o
さ  s a
し  sh i
す  s u
せ  s e
そ  s o
ざ  z a
じ  j i
ず  z u
ぜ  z e
ぞ  z o
た  t a
ち  ch i
つ  ts u
て  t e
と  t o
だ  d a
ぢ  j i
づ  z u
で  d e
ど  d o
な  n a
に  n i
ぬ  n u
ね  n e
の  n o
は  h a
ひ  h i
ふ  f u
へ  h e
ほ  h o
ば  b a
び  b i
ぶ  b u
べ  b e
ぼ  b o
ぱ  p a
ぴ  p i
ぷ  p u
ぺ  p e
ぽ  p o
ま  m a
み  m i
む  m u
め  m e
も  m o
や  y a
ゆ  y u
よ  y o
ら  r a
り  r i
る  r u
れ  r e
ろ  r o
わ  w a
を  o
ん  N
きゃ  ky a
きゅ  ky u
きょ  ky o
ぎゃ  gy a
ぎゅ  gy u
ぎょ  gy o
しゃ  sh a
しゅ  sh u
しょ  sh o
じゃ  j a
じゅ  j u
じょ  j o
ちゃ  ch a
ちゅ  ch u
ちょ  ch o
ぢゃ  j a
ぢゅ  j u
ぢょ  j o
にゃ  ny a
にゅ  ny u
にょ  ny o
ひゃ  hy a
ひゅ  hy u
ひょ  hy o
びゃ  by a
びゅ  by u
びょ  by o
ぴゃ  py a
ぴゅ  py u
ぴょ  py o
みゃ  my a
みゅ  my u
みょ  my o
りゃ  ry a
りゅ  ry u
りょ  ry o
いぇ  y e
きぇ  ky e
ぎぇ  gy e
しぇ  sh e
じぇ  j e
ちぇ  ch e
ぢぇ  j e
にぇ  ny e
ひぇ  hy e
びぇ  by e
ぴぇ  py e
みぇ  my e
りぇ  ry e
うぃ  w i
うぇ  w e
うぉ  w o
くぁ  kw a
くぃ  kw i
くぇ  kw e
くぉ  kw o
ぐぁ  gw a
ぐぃ  gw i
ぐぇ  gw e
ぐぉ  gw o
つぁ  ts a
つぃ  ts i
つぇ  ts e
つぉ  ts o
ふぁ  f a
ふぃ  f i
ふぇ  f e
ふぉ  f o
ヴ  v u
ヴぁ  v a
ヴぃ  v i
ヴぇ  v e
ヴぉ  v o
ゔ  v u
ゔぁ  v a
ゔぃ  v i
ゔぇ  v e
ゔぉ  v o
すぃ  s i
ずぃ  z i
てぃ  t i
てゅ  ty u
とぅ  t u
でぃ  d i
でゅ  dy u
どぅ  d u
か゜  ng a
き゜  ng i
く゜  ng u
け゜  ng e
こ゜  ng o
き゜ぇ  ngy e
き゜ゃ  ngy a
き゜ゅ  ngy u
き゜ょ  ngy o
ゐ  i
ゑ  e
っ  cl
あい  a i
うい  u i
おい  o i
かい  k a i
くい  k u i
こい  k o i
がい  g a i
ぐい  g u i
ごい  g o i
さい  s a i
すい  s u i
そい  s o i
ざい  z a i
ずい  z u i
ぞい  z o i
たい  t a i
つい  ts u i
とい  t o i
だい  d a i
づい  z u i
どい  d o i
ない  n a i
ぬい  n u i
のい  n o i
はい  h a i
ふい  f u i
ほい  h o i
ばい  b a i
ぶい  b u i
ぼい  b o i
ぱい  p a i
ぷい  p u i
ぽい  p o i
まい  m a i
むい  m u i
もい  m o i
やい  y a i
ゆい  y u i
よい  y o i
らい  r a i
るい  r u i
ろい  r o i
わい  w a i
をい  o i
きゃい  ky a i
きゅい  ky u i
きょい  ky o i
ぎゃい  gy a i
ぎゅい  gy u i
ぎょい  gy o i
しゃい  sh a i
しゅい  sh u i
しょい  sh o i
じゃい  j a i
じゅい  j u i
じょい  j o i
ちゃい  ch a i
ちゅい  ch u i
ちょい  ch o i
ぢゃい  j a i
ぢゅい  j u i
ぢょい  j o i
にゃい  ny a i
にゅい  ny u i
にょい  ny o i
ひゃい  hy a i
ひゅい  hy u i
ひょい  hy o i
びゃい  by a i
びゅい  by u i
びょい  by o i
ぴゃい  py a i
ぴゅい  py u i
ぴょい  py o i
みゃい  my a i
みゅい  my u i
