ア  A
イ  I
ウ  U
エ  E
オ  O
カ  k A
キ  k I
ク  k U
ケ  k E
コ  k O
ガ  g A
ギ  g I
グ  g U
ゲ  g E
ゴ  g O
サ  s A
シ  sh I
ス  s U
セ  s E
ソ  s O
ザ  z A
ジ  j I
ズ  z U
ゼ  z E
ゾ  z O
タ  t A
チ  ch I
ツ  ts U
テ  t E
ト  t O
ダ  d A
ヂ  j I
ヅ  z U
デ  d E
ド  d O
ナ  n A
ニ  n I
ヌ  n U
ネ  n E
ノ  n O
ハ  h A
ヒ  h I
フ  f U
ヘ  h E
ホ  h O
バ  b A
ビ  b I
ブ  b U
ベ  b E
ボ  b O
パ  p A
ピ  p I
プ  p U
ペ  p E
ポ  p O
マ  m A
ミ  m I
ム  m U
メ  m E
モ  m O
ヤ  y A
ユ  y U
ヨ  y O
ラ  r A
リ  r I
ル  r U
レ  r E
ロ  r O
ワ  w A
ヲ  O
ン  N
キャ  ky A
キュ  ky U
キョ  ky O
ギャ  gy A
ギュ  gy U
ギョ  gy O
シャ  sh A
シュ  sh U
ショ  sh O
ジャ  j A
ジュ  j U
ジョ  j O
チャ  ch A
チュ  ch U
チョ  ch O
ヂャ  j A
ヂュ  j U
ヂョ  j O
ニャ  ny A
ニュ  ny U
ニョ  ny O
ヒャ  hy A
ヒュ  hy U
ヒョ  hy O
ビャ  by A
ビュ  by U
ビョ  by O
ピャ  py A
ピュ  py U
ピョ  py O
ミャ  my A
ミュ  my U
ミョ  my O
リャ  ry A
リュ  ry U
リョ  ry O
イェ  y E
キェ  ky E
ギェ  gy E
シェ  sh E
ジェ  j E
チェ  ch E
ヂェ  j E
ニェ  ny E
ヒェ  hy E
ビェ  by E
ピェ  py E
ミェ  my E
リェ  ry E
ウィ  w I
ウェ  w E
ウォ  w O
クァ  kw A
クィ  kw I
クェ  kw E
クォ  kw O
グァ  gw A
グィ  gw I
グェ  gw E
グォ  gw O
ツァ  ts A
ツィ  ts I
ツェ  ts E
ツォ  ts O
ファ  f A
フィ  f I
フェ  f E
フォ  f O
ヴゥ  v U
ヴァ  v A
ヴィ  v I
ヴェ  v E
ヴォ  v O
スィ  s I
ズィ  z I
ティ  t I
テュ  ty U
トゥ  t U
ディ  d I
デュ  dy U
ドゥ  d U
カ゜  ng A
キ゜  ng I
ク゜  ng U
ケ゜  ng E
コ゜  ng O
キ゜ェ  ngy E
キ゜ャ  ngy A
キ゜ュ  ngy U
キ゜ョ  ngy O
ヰ  I
ヱ  E
ッ  cl
アイ  A I
ウイ  U I
オイ  O I
カイ  k A I
クイ  k U I
コイ  k O I
ガイ  g A I
グイ  g U I
ゴイ  g O I
サイ  s A I
スイ  s U I
ソイ  s O I
ザイ  z A I
ズイ  z U I
ゾイ  z O I
タイ  t A I
ツイ  ts U I
トイ  t O I
ダイ  d A I
ヅイ  z U I
ドイ  d O I
ナイ  n A I
ヌイ  n U I
ノイ  n O I
ハイ  h A I
フイ  f U I
ホイ  h O I
バイ  b A I
ブイ  b U I
ボイ  b O I
パイ  p A I
プイ  p U I
ポイ  p O I
マイ  m A I
ムイ  m U I
モイ  m O I
ヤイ  y A I
ユイ  y U I
ヨイ  y O I
ライ  r A I
ルイ  r U I
ロイ  r O I
ワイ  w A I
ヲイ  O I
キャイ  ky A I
キュイ  ky U I
キョイ  ky O I
ギャイ  gy A I
ギュイ  gy U I
ギョイ  gy O I
シャイ  sh A I
シュイ  sh U I
ショイ  sh O I
ジャイ  j A I
ジュイ  j U I
ジョイ  j O I
チャイ  ch A I
チュイ  ch U I
チョイ  ch O I
ヂャイ  j A I
ヂュイ  j U I
ヂョイ  j O I
ニャイ  ny A I
ニュイ  ny U I
ニョイ  ny O I
ヒャイ  hy A I
ヒュイ  hy U I
ヒョイ  hy O I
ビャイ  by A I
ビュイ  by U I
ビョイ  by O I
ピャイ  py A I
ピュイ  py U I
ピョイ  py O I
ミャイ  my A I
ミュイ  my U I
ミョイ  my O I
リャイ  ry A I
リュイ  ry U I
リョイ  ry O I
ウォイ  w O I
クァイ  kw A I
クォイ  kw O I
グァイ  gw A I
グォイ  gw O I
ツァイ  ts A I
ツォイ  ts O I
ファイ  f A I
フォイ  f O I
ヴイ  v U I
ヴァイ  v A I
ヴォイ  v O I
テュイ  ty U I
トゥイ  t U I
デュイ  dy U I
ドゥイ  t U I
カ゜イ  ng A I
ク゜イ  ng U I
コ゜イ  ng O I
キ゜ャイ  ngy A I
キ゜ュイ  ngy U I
キ゜ョイ  ngy O I
アウ  A U
カウ  k A U
ガウ  g A U
サウ  s A U
ザウ  z A U
タウ  t A U
ダウ  d A U
ナウ  n A U
ハウ  h A U
バウ  b A U
パウ  p A U
マウ  m A U
ヤウ  y A U
ラウ  r A U
ワウ  w A U
キャウ  ky A U
ギャウ  gy A U
シャウ  sh A U
ジャウ  j A U
チャウ  ch A U
ヂャウ  j A U
ニャウ  ny A U
ヒャウ  hy A U
ビャウ  by A U
ピャウ  py A U
ミャウ  my A U
リャウ  ry A U
クァウ  kw A U
グァウ  gw A U
ツァウ  ts A U
ファウ  f A U
ヴァウ  v A U
カ゜ウ  ng A U
キ゜ャウ  ngy A U
アオ  A O
カオ  k A O
ガオ  g A O
サオ  s A O
ザオ  z A O
タオ  t A O
ダオ  d A O
ナオ  n A O
ハオ  h A O
バオ  b A O
パオ  p A O
マオ  m A O
ヤオ  y A O
ラオ  r A O
ワオ  w A O
キャオ  ky A O
ギャオ  gy A O
シャオ  sh A O
ジャオ  j A O
チャオ  ch A O
ヂャオ  j A O
ニャオ  ny A O
ヒャオ  hy A O
ビャオ  by A O
ピャオ  py A O
ミャオ  my A O
リャオ  ry A O
クァオ  kw A O
グァオ  gw A O
ツァオ  ts A O
ファオ  f A O
ヴァオ  v A O
カ゜オ  ng A O
キ゜ャオ  ngy A O
アン  A N
イン  I N
ウン  U N
エン  E N
オン  O N
カン  k A N
キン  k I N
クン  k U N
ケン  k E N
コン  k O N
ガン  g A N
ギン  g I N
グン  g U N
ゲン  g E N
ゴン  g O N
サン  s A N
シン  sh I N
スン  s U N
セン  s E N
ソン  s O N
ザン  z A N
ジン  j I N
ズン  z U N
ゼン  z E N
ゾン  z O N
タン  t A N
チン  ch I N
ツン  ts U N
テン  t E N
トン  t O N
ダン  d A N
ヂン  j I N
ヅン  z U N
デン  d E N
ドン  d O N
ナン  n A N
ニン  n I N
ヌン  n U N
ネン  n E N
ノン  n O N
ハン  h A N
ヒン  h I N
フン  f U N
ヘン  h E N
ホン  h O N
バン  b A N
ビン  b I N
ブン  b U N
ベン  b E N
ボン  b O N
パン  p A N
ピン  p I N
プン  p U N
ペン  p E N
ポン  p O N
マン  m A N
ミン  m I N
ムン  m U N
メン  m E N
モン  m O N
ヤン  y A N
ユン  y U N
ヨン  y O N
ラン  r A N
リン  r I N
ルン  r U N
レン  r E N
ロン  r O N
ワン  w A N
ヲン  O N
キャン  ky A N
キュン  ky U N
キョン  ky O N
ギャン  gy A N
ギュン  gy U N
ギョン  gy O N
シャン  sh A N
シュン  sh U N
ション  sh O N
ジャン  j A N
ジュン  j U N
ジョン  j O N
チャン  ch A N
チュン  ch U N
チョン  ch O N
ヂャン  j A N
ヂュン  j U N
ヂョン  j O N
ニャン  ny A N
ニュン  ny U N
ニョン  ny O N
ヒャン  hy A N
ヒュン  hy U N
ヒョン  hy O N
ビャン  by A N
ビュン  by U N
ビョン  by O N
ピャン  py A N
ピュン  py U N
ピョン  py O N
ミャン  my A N
ミュン  my U N
ミョン  my O N
リャン  ry A N
リュン  ry U N
リョン  ry O N
イェン  y E N
キェン  ky E N
ギェン  gy E N
シェン  sh E N
ジェン  j E N
チェン  ch E N
ヂェン  j E N
ニェン  ny E N
ヒェン  hy E N
ビェン  by E N
ピェン  py E N
ミェン  my E N
リェン  ry E N
ウィン  w I N
ウェン  w E N
ウォン  w O N
クァン  kw A N
クィン  kw I N
クェン  kw E N
クォン  kw O N
グァン  gw A N
グィン  gw I N
グェン  gw E N
グォン  gw O N
ツァン  ts A N
ツィン  ts I N
ツェン  ts E N
ツォン  ts O N
ファン  f A N
フィン  f I N
フェン  f E N
フォン  f O N
ヴン  v U N
ヴァン  v A N
ヴィン  v I N
ヴェン  v E N
ヴォン  v O N
スィン  s I N
ズィン  z I N
ティン  t I N
テュン  ty U N
トゥン  t U N
ディン  d I N
デュン  dy U N
ドゥン  d U N
カ゜ン  ng A N
キ゜ン  ng I N
ク゜ン  ng U N
ケ゜ン  ng E N
コ゜ン  ng O N
キ゜ェン  ngy E N
キ゜ャン  ngy A N
キ゜ュン  ngy U N
キ゜ョン  ngy O N
ヰン  I N
ヱン  E N
アッ  A cl
イッ  I cl
ウッ  U cl
エッ  E cl
オッ  O cl
カッ  k A cl
キッ  k I cl
クッ  k U cl
ケッ  k E cl
コッ  k O cl
ガッ  g A cl
ギッ  g I cl
グッ  g U cl
ゲッ  g E cl
ゴッ  g O cl
サッ  s A cl
シッ  sh I cl
スッ  s U cl
セッ  s E cl
ソッ  s O cl
ザッ  z A cl
ジッ  j I cl
ズッ  z U cl
ゼッ  z E cl
ゾッ  z O cl
タッ  t A cl
チッ  ch I cl
ツッ  ts U cl
テッ  t E cl
